kolorowanka,Example,Stimuli,proby.thisRepN,proby.thisTrialN,proby.thisN,proby.thisIndex,zapoznanie.thisRepN,zapoznanie.thisTrialN,zapoznanie.thisN,zapoznanie.thisIndex,Warunki.thisRepN,Warunki.thisTrialN,Warunki.thisN,Warunki.thisIndex,Intro.started,Intro_resp.started,Intro_resp.keys,Intro_resp.rt,Kolorowanie1.started,starttt.started,starttt.keys,starttt.rt,koloruj.started,Instruction.started,key_resp.started,key_resp.keys,key_resp.rt,Wyjasnienie.started,text.started,odp_przyk.started,odp_przyk.keys,odp_przyk.corr,odp_przyk.rt,zapo.started,Zadanie.started,Odp.started,Odp.keys,Odp.corr,Odp.rt,zapo.stopped,thanks.started,KONIEC.started,KONIEC.keys,KONIEC.rt,participant,Wiek (w latach),Płeć (K/M),Entropia,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,30.739133808994666,32.72774290596135,space,16.946098240092397,,,,,,,,,,,,,,,,,,,,,,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,--<--,,0,0,0,1,0,0,0,4,,,,,,,,,49.75316019996535,50.691320974961855,space,24.331707416917197,75.08405056793708,375.04814827791415,377.0312857920071,space,37.43615266203415,414.48363880696706,423.4732290339889,423.4732290339889,left,0,1.4872524139937013,,,,,,,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,>>>>>,,0,0,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,425.9794460469857,425.9794460469857,right,0,0.8087926229927689,,,,,,,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,>><>>,,0,0,0,1,0,2,2,3,,,,,,,,,,,,,,,,,,,427.7999609479448,427.7999609479448,left,0,1.1383398120524362,,,,,,,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,<<><<,,0,0,0,1,0,3,3,2,,,,,,,,,,,,,,,,,,,429.9665575089166,429.9665575089166,right,0,0.6955588139826432,,,,,,,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,-->--,,0,0,0,1,0,4,4,5,,,,,,,,,,,,,,,,,,,431.6732175309444,431.6732175309444,right,0,0.7969182659871876,,,,,,,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,<<<<<,,0,0,0,1,0,5,5,0,,,,,,,,,,,,,,,,,,,433.49587945092935,433.49587945092935,left,0,0.7182704319711775,,,,,,,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,1,,,,,0,0,0,47,,,,,,,,,,,,,,,,,,,,435.23457237600815,443.2388879089849,443.2388879089849,left,0,0.7042140079429373,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,1,,,,,0,1,1,35,,,,,,,,,,,,,,,,,,,,,444.9634784369264,444.9634784369264,left,0,0.9062740120571107,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,1,,,,,0,2,2,36,,,,,,,,,,,,,,,,,,,,,446.8960534489015,446.8960534489015,left,0,0.7208201329922304,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,1,,,,,0,3,3,16,,,,,,,,,,,,,,,,,,,,,448.64165454392787,448.64165454392787,left,0,0.7818904659943655,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,1,,,,,0,4,4,40,,,,,,,,,,,,,,,,,,,,,450.45041796192527,450.45041796192527,left,0,0.509153095073998,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,1,,,,,0,5,5,23,,,,,,,,,,,,,,,,,,,,,451.9791390859755,451.9791390859755,right,0,0.8525664190528914,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,1,,,,,0,6,6,18,,,,,,,,,,,,,,,,,,,,,453.8400340639055,453.8400340639055,left,0,0.5825798099394888,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,1,,,,,0,7,7,22,,,,,,,,,,,,,,,,,,,,,455.43276923394296,455.43276923394296,right,0,0.6858189910417423,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,-->--,0,0,0,1,,,,,0,8,8,58,,,,,,,,,,,,,,,,,,,,,457.1478497479111,457.1478497479111,right,0,0.7265937420306727,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,1,,,,,0,9,9,46,,,,,,,,,,,,,,,,,,,,,458.88958563201595,458.88958563201595,left,0,0.6788458719383925,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,1,,,,,0,10,10,20,,,,,,,,,,,,,,,,,,,,,460.57288873696234,460.57288873696234,right,0,0.5835723839700222,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,1,,,,,0,11,11,44,,,,,,,,,,,,,,,,,,,,,462.184258181951,462.184258181951,left,0,0.42016726708970964,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,>>>>>,0,0,0,1,,,,,0,12,12,1,,,,,,,,,,,,,,,,,,,,,463.6227538859239,463.6227538859239,right,0,0.530580642982386,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,1,,,,,0,13,13,30,,,,,,,,,,,,,,,,,,,,,465.16800645994954,465.16800645994954,left,0,0.5762759790522978,,,,,,11,20,K,N,2023-01-05_11h00.36.600,Flanker,2022.2.4,None,
