kolorowanka,Example,Stimuli,proby.thisRepN,proby.thisTrialN,proby.thisN,proby.thisIndex,zapoznanie.thisRepN,zapoznanie.thisTrialN,zapoznanie.thisN,zapoznanie.thisIndex,Warunki.thisRepN,Warunki.thisTrialN,Warunki.thisN,Warunki.thisIndex,Intro.started,Intro_resp.started,Intro_resp.keys,Intro_resp.rt,Kolorowanie1.started,starttt.started,starttt.keys,starttt.rt,koloruj.started,Instruction.started,key_resp.started,key_resp.keys,key_resp.rt,Wyjasnienie.started,text.started,odp_przyk.started,odp_przyk.keys,odp_przyk.corr,odp_przyk.rt,zapo.started,Zadanie.started,Odp.started,Odp.keys,Odp.corr,Odp.rt,zapo.stopped,thanks.started,KONIEC.started,KONIEC.keys,KONIEC.rt,participant,Wiek (w latach),Płeć (K/M),Entropia,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,40.155777529929800,42.13775216601790,space,13.32062090409450,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,M,N,2023-01-03_10h29.40.510,Flanker,2022.2.4,92.38168178441310,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,<<<<<,,0,0,0,0,0,0,0,0,,,,,,,,,55.55176025198310,56.48572780902030,space,21.93601766601210,78.451366933994,380.9245092709320,382.9085652070350,space,37.84181558107960,420.76695448497800,429.7566061730030,429.7566061730030,left,0,0.801362443016842,,,,,,,,,,,,1,21,M,N,2023-01-03_10h29.40.510,Flanker,2022.2.4,92.38168178441310,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,<<><<,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,431.57389267697,431.57389267697,right,0,1.0677479730220500,,,,,,,,,,,,1,21,M,N,2023-01-03_10h29.40.510,Flanker,2022.2.4,92.38168178441310,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,-->--,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,433.66499012801800,433.66499012801800,right,0,0.6236799350008370,,,,,,,,,,,,1,21,M,N,2023-01-03_10h29.40.510,Flanker,2022.2.4,92.38168178441310,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,>>>>>,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,435.29912622994700,435.29912622994700,right,0,0.7463380229892210,,,,,,,,,,,,1,21,M,N,2023-01-03_10h29.40.510,Flanker,2022.2.4,92.38168178441310,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,>><>>,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,437.05644026899200,437.05644026899200,left,0,0.64416941604577,,,,,,,,,,,,1,21,M,N,2023-01-03_10h29.40.510,Flanker,2022.2.4,92.38168178441310,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,--<--,,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,,,438.7054589089240,438.7054589089240,left,0,0.48402898700442200,,,,,,,,,,,,1,21,M,N,2023-01-03_10h29.40.510,Flanker,2022.2.4,92.38168178441310,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>>>>> ,0,0,0,0,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,440.2106612130300,448.20616449497200,448.20616449497200,right,0,0.4961017610039560,,,,,,1,21,M,N,2023-01-03_10h29.40.510,Flanker,2022.2.4,92.38168178441310,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,0,,,,,0,1,1,43,,,,,,,,,,,,,,,,,,,,,449.7209427829370,449.7209427829370,left,0,0.49595724092796400,,,,,,1,21,M,N,2023-01-03_10h29.40.510,Flanker,2022.2.4,92.38168178441310,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>>>>>,0,0,0,0,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,451.23242719401600,451.23242719401600,right,0,0.4257194109959530,,,,,,1,21,M,N,2023-01-03_10h29.40.510,Flanker,2022.2.4,92.38168178441310,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,0,,,,,0,3,3,36,,,,,,,,,,,,,,,,,,,,,452.66870301694100,452.66870301694100,left,0,0.6224433809984480,,,,,,1,21,M,N,2023-01-03_10h29.40.510,Flanker,2022.2.4,92.38168178441310,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,0,,,,,0,4,4,14,,,,,,,,,,,,,,,,,,,,,454.2989602040030,454.2989602040030,left,0,0.36514253995847000,,,,,,1,21,M,N,2023-01-03_10h29.40.510,Flanker,2022.2.4,92.38168178441310,
