kolorowanka,Example,Stimuli,proby.thisRepN,proby.thisTrialN,proby.thisN,proby.thisIndex,zapoznanie.thisRepN,zapoznanie.thisTrialN,zapoznanie.thisN,zapoznanie.thisIndex,Warunki.thisRepN,Warunki.thisTrialN,Warunki.thisN,Warunki.thisIndex,Intro.started,Intro_resp.started,Intro_resp.keys,Intro_resp.rt,Kolorowanie1.started,starttt.started,starttt.keys,starttt.rt,koloruj.started,Instruction.started,key_resp.started,key_resp.keys,key_resp.rt,Wyjasnienie.started,text.started,odp_przyk.started,odp_przyk.keys,odp_przyk.corr,odp_przyk.rt,zapo.started,Zadanie.started,Odp.started,Odp.keys,Odp.corr,Odp.rt,zapo.stopped,thanks.started,KONIEC.started,KONIEC.keys,KONIEC.rt,participant,Wiek (w latach),Płeć (K/M),Entropia,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,36.8882133779116,38.871492076898000,space,19.4917936649872,,,,,,,,,,,,,,,,,,,,,,,,,,,3,43,K,N,2023-01-03_12h25.43.457,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,<<><<,,0,0,0,0,0,0,0,2,,,,,,,,,58.40554064500610,59.36755288997670,space,5.963490916066800,65.35869202692990,365.3625052969440,367.3543170169000,space,34.9711735509336,402.34792080300400,411.3436210649090,411.3436210649090,left,0,4.438723393948750,,,,,,,,,,,,3,43,K,N,2023-01-03_12h25.43.457,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,--<--,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,416.82025763893000,416.82025763893000,left,0,2.0848727469565300,,,,,,,,,,,,3,43,K,N,2023-01-03_12h25.43.457,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,-->--,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,419.91988830198500,419.91988830198500,right,0,1.1701672350755000,,,,,,,,,,,,3,43,K,N,2023-01-03_12h25.43.457,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,<<<<<,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,422.10489128890900,422.10489128890900,left,0,1.4678258820204100,,,,,,,,,,,,3,43,K,N,2023-01-03_12h25.43.457,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,>><>>,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,424.58516138989900,424.58516138989900,left,0,1.9676581569947300,,,,,,,,,,,,3,43,K,N,2023-01-03_12h25.43.457,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,>>>>>,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,427.56970970495600,427.56970970495600,right,0,0.943073229980655,,,,,,,,,,,,3,43,K,N,2023-01-03_12h25.43.457,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,0,,,,,0,0,0,37,,,,,,,,,,,,,,,,,,,,429.5287194279950,437.53482198691900,437.53482198691900,left,0,1.257572393049490,436.5488412779520,,,,,3,43,K,N,2023-01-03_12h25.43.457,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,0,,,,,0,1,1,26,,,,,,,,,,,,,,,,,,,,,439.7942999259100,439.7942999259100,right,0,1.6196872619912000,,,,,,3,43,K,N,2023-01-03_12h25.43.457,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,0,,,,,0,2,2,23,,,,,,,,,,,,,,,,,,,,,442.42152345296900,442.42152345296900,right,0,1.5964710809057600,,,,,,3,43,K,N,2023-01-03_12h25.43.457,Flanker,2022.2.4,None,
