kolorowanka,Example,Stimuli,proby.thisRepN,proby.thisTrialN,proby.thisN,proby.thisIndex,zapoznanie.thisRepN,zapoznanie.thisTrialN,zapoznanie.thisN,zapoznanie.thisIndex,Warunki.thisRepN,Warunki.thisTrialN,Warunki.thisN,Warunki.thisIndex,Intro.started,Intro_resp.started,Intro_resp.keys,Intro_resp.rt,Kolorowanie1.started,starttt.started,starttt.keys,starttt.rt,koloruj.started,Instruction.started,key_resp.started,key_resp.keys,key_resp.rt,Wyjasnienie.started,text.started,odp_przyk.started,odp_przyk.keys,odp_przyk.corr,odp_przyk.rt,zapo.started,Zadanie.started,Odp.started,Odp.keys,Odp.corr,Odp.rt,zapo.stopped,thanks.started,KONIEC.started,KONIEC.keys,KONIEC.rt,participant,Wiek (w latach),Płeć (K/M),Entropia,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,32.430591471958900,34.41272401495370,space,13.512776289950100,,,,,,,,,,,,,,,,,,,,,,,,,,,12,20,K,N,2023-01-05_11h18.04.044,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,>><>>,,0,0,0,1,0,0,0,3,,,,,,,,,47.98970229795670,48.955838850932200,space,7.5240072859451200,56.49580720090310,356.4949290679070,358.4858412069730,space,24.659107096027600,383.15988394094200,392.1450507659470,392.1450507659470,left,0,2.66170850105118,,,,,,,,,,,,12,20,K,N,2023-01-05_11h18.04.044,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,<<><<,,0,0,0,1,0,1,1,2,,,,,,,,,,,,,,,,,,,395.8227062759690,395.8227062759690,left,0,3.868090652045790,,,,,,,,,,,,12,20,K,N,2023-01-05_11h18.04.044,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,<<<<<,,0,0,0,1,0,2,2,0,,,,,,,,,,,,,,,,,,,400.7031823019500,400.7031823019500,right,0,1.5056566830026000,,,,,,,,,,,,12,20,K,N,2023-01-05_11h18.04.044,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,--<--,,0,0,0,1,0,3,3,4,,,,,,,,,,,,,,,,,,,403.21816213801500,403.21816213801500,right,0,2.212458864902150,,,,,,,,,,,,12,20,K,N,2023-01-05_11h18.04.044,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,>>>>>,,0,0,0,1,0,4,4,1,,,,,,,,,,,,,,,,,,,406.4514188489410,406.4514188489410,right,0,1.1022422399837500,,,,,,,,,,,,12,20,K,N,2023-01-05_11h18.04.044,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,-->--,,0,0,0,1,0,5,5,5,,,,,,,,,,,,,,,,,,,408.5590246539800,408.5590246539800,right,0,0.8346182279055940,,,,,,,,,,,,12,20,K,N,2023-01-05_11h18.04.044,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,1,,,,,0,0,0,22,,,,,,,,,,,,,,,,,,,,410.4041161169300,418.39422101399400,418.39422101399400,right,0,2.752682431950230,417.4220377879680,,,,,12,20,K,N,2023-01-05_11h18.04.044,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,1,,,,,0,1,1,36,,,,,,,,,,,,,,,,,,,,,422.1660852349600,422.1660852349600,left,0,1.489848671015350,,,,,,12,20,K,N,2023-01-05_11h18.04.044,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,1,,,,,0,2,2,48,,,,,,,,,,,,,,,,,,,,,424.67507188394700,424.67507188394700,left,0,1.1448577690171100,,,,,,12,20,K,N,2023-01-05_11h18.04.044,Flanker,2022.2.4,None,
