kolorowanka,Example,Stimuli,proby.thisRepN,proby.thisTrialN,proby.thisN,proby.thisIndex,zapoznanie.thisRepN,zapoznanie.thisTrialN,zapoznanie.thisN,zapoznanie.thisIndex,Warunki.thisRepN,Warunki.thisTrialN,Warunki.thisN,Warunki.thisIndex,Intro.started,Intro_resp.started,Intro_resp.keys,Intro_resp.rt,Kolorowanie1.started,starttt.started,starttt.keys,starttt.rt,koloruj.started,Instruction.started,key_resp.started,key_resp.keys,key_resp.rt,Wyjasnienie.started,text.started,odp_przyk.started,odp_przyk.keys,odp_przyk.corr,odp_przyk.rt,zapo.started,Zadanie.started,Odp.started,Odp.keys,Odp.corr,Odp.rt,zapo.stopped,thanks.started,KONIEC.started,KONIEC.keys,KONIEC.rt,participant,Wiek (w latach),Płeć (K/M),Entropia,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,24.546866836957633,26.533009153907187,space,16.735350179951638,,,,,,,,,,,,,,,,,,,,,,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,>><>>,,0,0,0,1,0,0,0,3,,,,,,,,,43.32227081700694,44.27906201395672,space,13.455409118905663,57.805117306998,357.76736468600575,359.7424965519458,space,20.59462586301379,380.35715704399627,389.35183758998755,389.35183758998755,right,0,4.906555199995637,,,,,,,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,--<--,,0,0,0,1,0,1,1,4,,,,,,,,,,,,,,,,,,,395.27273648499977,395.27273648499977,left,0,1.6803225770127028,,,,,,,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,-->--,,0,0,0,1,0,2,2,5,,,,,,,,,,,,,,,,,,,397.9705380749656,397.9705380749656,right,0,0.7742351820925251,,,,,,,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,<<><<,,0,0,0,1,0,3,3,2,,,,,,,,,,,,,,,,,,,399.7681051569525,399.7681051569525,right,0,1.9898859830573201,,,,,,,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,>>>>>,,0,0,0,1,0,4,4,1,,,,,,,,,,,,,,,,,,,402.76019949489273,402.76019949489273,right,0,0.8145415949402377,,,,,,,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,<<<<<,,0,0,0,1,0,5,5,0,,,,,,,,,,,,,,,,,,,404.5867303289706,404.5867303289706,left,0,0.5161276999861002,,,,,,,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,>>>>>,0,0,0,1,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,406.11690766597167,414.11417496996,414.11417496996,right,0,0.7814142630668357,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,1,,,,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,415.9037812720053,415.9037812720053,left,0,0.43156734202057123,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,1,,,,,0,2,2,44,,,,,,,,,,,,,,,,,,,,,417.3480300459778,417.3480300459778,left,0,0.43922422791365534,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,1,,,,,0,3,3,21,,,,,,,,,,,,,,,,,,,,,418.79299838794395,418.79299838794395,right,0,0.5661849939497188,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,1,,,,,0,4,4,36,,,,,,,,,,,,,,,,,,,,,420.3766063179355,420.3766063179355,left,0,0.5235999050782993,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,-->--,0,0,0,1,,,,,0,5,5,52,,,,,,,,,,,,,,,,,,,,,421.90608541399706,421.90608541399706,right,0,0.34815854800399393,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,1,,,,,0,6,6,13,,,,,,,,,,,,,,,,,,,,,423.2600001608953,423.2600001608953,left,0,0.4110441479133442,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,1,,,,,0,7,7,10,,,,,,,,,,,,,,,,,,,,,424.6774109679973,424.6774109679973,left,0,0.5036159340525046,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,1,,,,,0,8,8,14,,,,,,,,,,,,,,,,,,,,,426.19796312600374,426.19796312600374,left,0,0.38519775902386755,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,1,,,,,0,9,9,19,,,,,,,,,,,,,,,,,,,,,427.5930130039342,427.5930130039342,left,0,0.3590230679837987,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,1,,,,,0,10,10,29,,,,,,,,,,,,,,,,,,,,,428.9708744100062,428.9708744100062,right,0,0.5231052179588005,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,-->--,0,0,0,1,,,,,0,11,11,51,,,,,,,,,,,,,,,,,,,,,430.5561201989185,430.5561201989185,right,0,0.43883235508110374,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,>>>>>,0,0,0,1,,,,,0,12,12,4,,,,,,,,,,,,,,,,,,,,,432.00478628790006,432.00478628790006,right,0,0.5282855209661648,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,1,,,,,0,13,13,27,,,,,,,,,,,,,,,,,,,,,433.5389322529081,433.5389322529081,right,0,0.57191869802773,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,>>>>>,0,0,0,1,,,,,0,14,14,3,,,,,,,,,,,,,,,,,,,,,435.13118206197396,435.13118206197396,right,0,0.3865668330108747,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,1,,,,,0,15,15,41,,,,,,,,,,,,,,,,,,,,,436.53241861891,436.53241861891,left,0,0.43045616894960403,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,1,,,,,0,16,16,37,,,,,,,,,,,,,,,,,,,,,437.9672863499727,437.9672863499727,left,0,0.4964564989786595,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,1,,,,,0,17,17,47,,,,,,,,,,,,,,,,,,,,,439.4660017689457,439.4660017689457,left,0,0.4266975380014628,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,1,,,,,0,18,18,31,,,,,,,,,,,,,,,,,,,,,440.9001754249912,440.9001754249912,left,0,0.5055746040306985,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,1,,,,,0,19,19,12,,,,,,,,,,,,,,,,,,,,,442.4159538130043,442.4159538130043,left,0,0.3967480310238898,,,,,,15,20,K,N,2023-01-05_12h07.45.874,Flanker,2022.2.4,None,
