kolorowanka,Example,Stimuli,proby.thisRepN,proby.thisTrialN,proby.thisN,proby.thisIndex,zapoznanie.thisRepN,zapoznanie.thisTrialN,zapoznanie.thisN,zapoznanie.thisIndex,Warunki.thisRepN,Warunki.thisTrialN,Warunki.thisN,Warunki.thisIndex,Intro.started,Intro_resp.started,Intro_resp.keys,Intro_resp.rt,Kolorowanie1.started,starttt.started,starttt.keys,starttt.rt,koloruj.started,Instruction.started,key_resp.started,key_resp.keys,key_resp.rt,Wyjasnienie.started,text.started,odp_przyk.started,odp_przyk.keys,odp_przyk.corr,odp_przyk.rt,zapo.started,Zadanie.started,Odp.started,Odp.keys,Odp.corr,Odp.rt,zapo.stopped,thanks.started,KONIEC.started,KONIEC.keys,KONIEC.rt,participant,Wiek (w latach),Płeć (K/M),Entropia,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,23.081450507044792,25.05891646503005,space,19.73651099402923,,,,,,,,,,,,,,,,,,,,,,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,>>>>>,,0,0,0,0,0,0,0,1,,,,,,,,,44.85393068601843,45.82984938810114,space,8.858861707965843,54.72068976901937,354.7247676020488,356.7032243910944,space,51.622189559042454,408.3539768370101,417.337424016092,417.337424016092,right,0,0.5633364890236408,,,,,,,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,<<><<,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,418.9041256631026,418.9041256631026,right,0,0.9132702469360083,,,,,,,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,-->--,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,420.83160651207436,420.83160651207436,right,0,0.5927534849615768,,,,,,,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,>><>>,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,422.42787251609843,422.42787251609843,left,0,0.6635182059835643,,,,,,,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,--<--,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,424.0973761670757,424.0973761670757,left,0,0.5769406110048294,,,,,,,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,<<<<<,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,425.6731206650147,425.6731206650147,left,0,0.5002846480347216,,,,,,,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,0,,,,,0,0,0,26,,,,,,,,,,,,,,,,,,,,427.19343467406,435.17852795601357,435.17852795601357,right,0,0.5956768149044365,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,0,,,,,0,1,1,17,,,,,,,,,,,,,,,,,,,,,436.79927034303546,436.79927034303546,left,0,0.5128113739192486,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,0,,,,,0,2,2,29,,,,,,,,,,,,,,,,,,,,,438.317271658103,438.317271658103,right,0,0.4375282688997686,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>>>>>,0,0,0,0,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,439.77447934099473,439.77447934099473,right,0,0.4102927159983665,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,0,,,,,0,4,4,18,,,,,,,,,,,,,,,,,,,,,441.2083215720486,441.2083215720486,left,0,0.36347657605074346,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,0,,,,,0,5,5,11,,,,,,,,,,,,,,,,,,,,,442.5833920650184,442.5833920650184,left,0,0.35355152597185224,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,0,,,,,0,6,6,47,,,,,,,,,,,,,,,,,,,,,443.9364836930763,443.9364836930763,left,0,0.42430065595544875,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,-->--,0,0,0,0,,,,,0,7,7,55,,,,,,,,,,,,,,,,,,,,,445.3723198811058,445.3723198811058,right,0,0.3825782099738717,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,0,,,,,0,8,8,10,,,,,,,,,,,,,,,,,,,,,446.77447607100476,446.77447607100476,left,0,0.3243516809307039,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,0,,,,,0,9,9,41,,,,,,,,,,,,,,,,,,,,,448.11387656407896,448.11387656407896,left,0,0.3738805189495906,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>>>>>,0,0,0,0,,,,,0,10,10,1,,,,,,,,,,,,,,,,,,,,,449.51042184699327,449.51042184699327,right,0,0.3172889429843053,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>>>>>,0,0,0,0,,,,,0,11,11,3,,,,,,,,,,,,,,,,,,,,,450.8428057200508,450.8428057200508,right,0,0.32999847596511245,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,0,,,,,0,12,12,21,,,,,,,,,,,,,,,,,,,,,452.1866420080187,452.1866420080187,right,0,0.5750613390700892,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,0,,,,,0,13,13,24,,,,,,,,,,,,,,,,,,,,,453.7643415280618,453.7643415280618,right,0,0.3984527540160343,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,-->--,0,0,0,0,,,,,0,14,14,50,,,,,,,,,,,,,,,,,,,,,455.1696196240373,455.1696196240373,right,0,0.5138855139957741,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,0,,,,,0,15,15,23,,,,,,,,,,,,,,,,,,,,,456.7040117960423,456.7040117960423,right,0,0.4935980379814282,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,0,,,,,0,16,16,44,,,,,,,,,,,,,,,,,,,,,458.2018416330684,458.2018416330684,left,0,0.49750319705344737,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,0,,,,,0,17,17,31,,,,,,,,,,,,,,,,,,,,,459.71086958702654,459.71086958702654,left,0,0.5566239960025996,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,-->--,0,0,0,0,,,,,0,18,18,57,,,,,,,,,,,,,,,,,,,,,461.279714139062,461.279714139062,right,0,0.37791715294588357,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,0,,,,,0,19,19,39,,,,,,,,,,,,,,,,,,,,,462.6722310280893,462.6722310280893,left,0,0.3973173910053447,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,0,,,,,0,20,20,16,,,,,,,,,,,,,,,,,,,,,464.0816876060562,464.0816876060562,left,0,0.4477724489988759,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,0,,,,,0,21,21,13,,,,,,,,,,,,,,,,,,,,,465.533848305,465.533848305,left,0,0.38463032408617437,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,-->--,0,0,0,0,,,,,0,22,22,53,,,,,,,,,,,,,,,,,,,,,466.9320929640671,466.9320929640671,right,0,0.37227765494026244,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>>>>> ,0,0,0,0,,,,,0,23,23,5,,,,,,,,,,,,,,,,,,,,,468.31553149805404,468.31553149805404,right,0,0.42780125292483717,,,,,,24,21,M,W,2023-01-05_14h48.41.392,Flanker,2022.2.4,86.58325231085051,
