kolorowanka,Example,Stimuli,proby.thisRepN,proby.thisTrialN,proby.thisN,proby.thisIndex,zapoznanie.thisRepN,zapoznanie.thisTrialN,zapoznanie.thisN,zapoznanie.thisIndex,Warunki.thisRepN,Warunki.thisTrialN,Warunki.thisN,Warunki.thisIndex,Intro.started,Intro_resp.started,Intro_resp.keys,Intro_resp.rt,Kolorowanie1.started,starttt.started,starttt.keys,starttt.rt,koloruj.started,Instruction.started,key_resp.started,key_resp.keys,key_resp.rt,Wyjasnienie.started,text.started,odp_przyk.started,odp_przyk.keys,odp_przyk.corr,odp_przyk.rt,zapo.started,Zadanie.started,Odp.started,Odp.keys,Odp.corr,Odp.rt,zapo.stopped,thanks.started,KONIEC.started,KONIEC.keys,KONIEC.rt,participant,Wiek (w latach),Płeć (K/M),Entropia,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,155.33813506295000,157.3170894559010,space,10.675939449924000,,,,,,,,,,,,,,,,,,,,,,,,,,,10,25,M,N,2023-01-05_10h34.15.872,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,>><>>,,0,0,0,0,0,0,0,3,,,,,,,,,168.07862945098900,169.00357395689900,space,11.29020575794860,180.30978574499000,480.3169509639270,482.3058715319490,space,13.015900922007900,495.33759705198500,504.3215021719230,504.3215021719230,right,0,1.7936713709496000,,,,,,,,,,,,10,25,M,N,2023-01-05_10h34.15.872,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,<<<<<,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,507.1269345639740,507.1269345639740,left,0,1.7889512960100500,,,,,,,,,,,,10,25,M,N,2023-01-05_10h34.15.872,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,-->--,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,509.92574383691000,509.92574383691000,right,0,0.9589048420311880,,,,,,,,,,,,10,25,M,N,2023-01-05_10h34.15.872,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,>>>>>,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,511.9138358599740,511.9138358599740,right,0,0.7270111410180110,,,,,,,,,,,,10,25,M,N,2023-01-05_10h34.15.872,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,<<><<,,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,,,513.6489650029690,513.6489650029690,right,0,1.0947273980127600,,,,,,,,,,,,10,25,M,N,2023-01-05_10h34.15.872,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,--<--,,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,,,515.7437125119610,515.7437125119610,left,0,0.599978549988009,,,,,,,,,,,,10,25,M,N,2023-01-05_10h34.15.872,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,-->--,0,0,0,0,,,,,0,0,0,56,,,,,,,,,,,,,,,,,,,,517.365666912985,525.3671391269890,525.3671391269890,right,0,0.49692978302482500,524.3829220070040,,,,,10,25,M,N,2023-01-05_10h34.15.872,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,0,,,,,0,1,1,22,,,,,,,,,,,,,,,,,,,,,526.8710638699120,526.8710638699120,right,0,0.7456094839144500,,,,,,10,25,M,N,2023-01-05_10h34.15.872,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,0,,,,,0,2,2,35,,,,,,,,,,,,,,,,,,,,,528.6207027949860,528.6207027949860,left,0,0.5069169780472290,,,,,,10,25,M,N,2023-01-05_10h34.15.872,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>>>>>,0,0,0,0,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,530.1393255660080,530.1393255660080,right,0,0.4362383559346200,,,,,,10,25,M,N,2023-01-05_10h34.15.872,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,0,,,,,0,4,4,38,,,,,,,,,,,,,,,,,,,,,531.5828555999320,531.5828555999320,left,0,0.4527702369960030,,,,,,10,25,M,N,2023-01-05_10h34.15.872,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,0,,,,,0,5,5,17,,,,,,,,,,,,,,,,,,,,,533.0423600319770,533.0423600319770,left,0,0.4682096430333330,,,,,,10,25,M,N,2023-01-05_10h34.15.872,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,0,,,,,0,6,6,34,,,,,,,,,,,,,,,,,,,,,534.519695164985,534.519695164985,right,0,0.4297996350796890,,,,,,10,25,M,N,2023-01-05_10h34.15.872,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,-->--,0,0,0,0,,,,,0,7,7,57,,,,,,,,,,,,,,,,,,,,,535.9555861569240,535.9555861569240,right,0,0.5847953960765150,,,,,,10,25,M,N,2023-01-05_10h34.15.872,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>>>>>,0,0,0,0,,,,,0,8,8,7,,,,,,,,,,,,,,,,,,,,,537.5554597399900,537.5554597399900,right,0,0.5470789551036430,,,,,,10,25,M,N,2023-01-05_10h34.15.872,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,0,,,,,0,9,9,45,,,,,,,,,,,,,,,,,,,,,539.1086316289150,539.1086316289150,left,0,0.3967531149974090,,,,,,10,25,M,N,2023-01-05_10h34.15.872,Flanker,2022.2.4,None,
