kolorowanka,Example,Stimuli,proby.thisRepN,proby.thisTrialN,proby.thisN,proby.thisIndex,zapoznanie.thisRepN,zapoznanie.thisTrialN,zapoznanie.thisN,zapoznanie.thisIndex,Warunki.thisRepN,Warunki.thisTrialN,Warunki.thisN,Warunki.thisIndex,Intro.started,Intro_resp.started,Intro_resp.keys,Intro_resp.rt,Kolorowanie1.started,starttt.started,starttt.keys,starttt.rt,koloruj.started,Instruction.started,key_resp.started,key_resp.keys,key_resp.rt,Wyjasnienie.started,text.started,odp_przyk.started,odp_przyk.keys,odp_przyk.corr,odp_przyk.rt,zapo.started,Zadanie.started,Odp.started,Odp.keys,Odp.corr,Odp.rt,zapo.stopped,thanks.started,KONIEC.started,KONIEC.keys,KONIEC.rt,participant,Wiek (w latach),Płeć (K/M),Entropia,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,25.261683631921200,27.241402277955800,space,8.23280245589558,,,,,,,,,,,,,,,,,,,,,,,,,,,26,20,K,W,2023-01-05_15h22.16.352,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,<<><<,,0,0,0,1,0,0,0,2,,,,,,,,,35.525350795011000,36.49187293997970,space,11.528607651940500,48.10028589400460,348.0503564509560,350.0361799329990,space,27.865599942975700,377.9256469620160,386.92084733594700,386.92084733594700,right,0,1.3805022280430400,,,,,,,,,,,,26,20,K,W,2023-01-05_15h22.16.352,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,-->--,,0,0,0,1,0,1,1,5,,,,,,,,,,,,,,,,,,,389.30931345990400,389.30931345990400,right,0,0.5056057149777190,,,,,,,,,,,,26,20,K,W,2023-01-05_15h22.16.352,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,>><>>,,0,0,0,1,0,2,2,3,,,,,,,,,,,,,,,,,,,390.8168158939810,390.8168158939810,left,0,0.6332755419425670,,,,,,,,,,,,26,20,K,W,2023-01-05_15h22.16.352,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,<<<<<,,0,0,0,1,0,3,3,0,,,,,,,,,,,,,,,,,,,392.46985578991000,392.46985578991000,left,0,0.4041455090045930,,,,,,,,,,,,26,20,K,W,2023-01-05_15h22.16.352,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,--<--,,0,0,0,1,0,4,4,4,,,,,,,,,,,,,,,,,,,393.88290108996400,393.88290108996400,left,0,0.37382080708630400,,,,,,,,,,,,26,20,K,W,2023-01-05_15h22.16.352,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,>>>>>,,0,0,0,1,0,5,5,1,,,,,,,,,,,,,,,,,,,395.2688081859380,395.2688081859380,right,0,0.40001195296645200,,,,,,,,,,,,26,20,K,W,2023-01-05_15h22.16.352,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,>>>>>,0,0,0,1,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,396.6952050869590,404.6854661749680,404.6854661749680,right,0,0.44223770196549600,394.17014522396500,,,,,26,20,K,W,2023-01-05_15h22.16.352,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,1,,,,,0,1,1,47,,,,,,,,,,,,,,,,,,,,,406.13903989992100,406.13903989992100,left,0,0.40930646599736100,,,,,,26,20,K,W,2023-01-05_15h22.16.352,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,1,,,,,0,2,2,24,,,,,,,,,,,,,,,,,,,,,407.5674725949070,407.5674725949070,right,0,0.501969030010514,,,,,,26,20,K,W,2023-01-05_15h22.16.352,Flanker,2022.2.4,None,
