kolorowanka,Example,Stimuli,proby.thisRepN,proby.thisTrialN,proby.thisN,proby.thisIndex,zapoznanie.thisRepN,zapoznanie.thisTrialN,zapoznanie.thisN,zapoznanie.thisIndex,Warunki.thisRepN,Warunki.thisTrialN,Warunki.thisN,Warunki.thisIndex,Intro.started,Intro_resp.started,Intro_resp.keys,Intro_resp.rt,Kolorowanie1.started,starttt.started,starttt.keys,starttt.rt,koloruj.started,Instruction.started,key_resp.started,key_resp.keys,key_resp.rt,Wyjasnienie.started,text.started,odp_przyk.started,odp_przyk.keys,odp_przyk.corr,odp_przyk.rt,zapo.started,Zadanie.started,Odp.started,Odp.keys,Odp.corr,Odp.rt,zapo.stopped,thanks.started,KONIEC.started,KONIEC.keys,KONIEC.rt,participant,Wiek (w latach),Płeć (K/M),Entropia,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,27.77123053499963,29.755253718001768,space,15.414108181954361,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,>><>>,,0,0,0,0,0,0,0,3,,,,,,,,,45.217465021065436,46.1878170541022,space,9.571267643943429,55.827029216103256,355.79362810309976,357.780723744072,space,25.341217874083668,383.196891291067,392.14113797503524,392.14113797503524,left,0,1.8942412619944662,,,,,,,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,--<--,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,395.05520544108003,395.05520544108003,left,0,0.6728045680793002,,,,,,,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,<<<<<,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,396.73975393606815,396.73975393606815,left,0,0.629202624084428,,,,,,,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,-->--,,0,0,0,0,0,3,3,5,,,,,,,,,,,,,,,,,,,398.38233424408827,398.38233424408827,right,0,0.4925692930119112,,,,,,,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,<<><<,,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,,,399.89835925400257,399.89835925400257,right,0,0.7414079189766198,,,,,,,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,>>>>>,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,401.6627588090487,401.6627588090487,right,0,0.5492469610180706,,,,,,,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,-->--,0,0,0,0,,,,,0,0,0,55,,,,,,,,,,,,,,,,,,,,403.22439388907515,411.22142429603264,411.22142429603264,right,0,0.556314999004826,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,-->--,0,0,0,0,,,,,0,1,1,52,,,,,,,,,,,,,,,,,,,,,412.7884426440578,412.7884426440578,right,0,0.3742025470128283,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,0,,,,,0,2,2,26,,,,,,,,,,,,,,,,,,,,,414.17192423401866,414.17192423401866,right,0,0.685716558014974,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>>>>>,0,0,0,0,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,415.8831477930071,415.8831477930071,right,0,0.6854504300281405,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,-->--,0,0,0,0,,,,,0,4,4,50,,,,,,,,,,,,,,,,,,,,,417.58348440006375,417.58348440006375,right,0,0.6361442490015179,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,0,,,,,0,5,5,21,,,,,,,,,,,,,,,,,,,,,419.23859656904824,419.23859656904824,right,0,0.7358872999902815,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,0,,,,,0,6,6,22,,,,,,,,,,,,,,,,,,,,,420.9816828670446,420.9816828670446,right,0,0.6247017428977415,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,0,,,,,0,7,7,16,,,,,,,,,,,,,,,,,,,,,422.6341842710972,422.6341842710972,left,0,0.7253518720390275,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,0,,,,,0,8,8,48,,,,,,,,,,,,,,,,,,,,,424.37188822601456,424.37188822601456,left,0,0.5486296419985592,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,0,,,,,0,9,9,37,,,,,,,,,,,,,,,,,,,,,425.94437475700397,425.94437475700397,left,0,0.7690664479741827,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,0,,,,,0,10,10,38,,,,,,,,,,,,,,,,,,,,,427.7356212940067,427.7356212940067,left,0,0.6917792409658432,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,0,,,,,0,11,11,45,,,,,,,,,,,,,,,,,,,,,429.4434691130882,429.4434691130882,left,0,0.48975234699901193,,,,,,20,18,K,W,2023-01-05_13h40.09.216,Flanker,2022.2.4,None,
