kolorowanka,Example,Stimuli,proby.thisRepN,proby.thisTrialN,proby.thisN,proby.thisIndex,zapoznanie.thisRepN,zapoznanie.thisTrialN,zapoznanie.thisN,zapoznanie.thisIndex,Warunki.thisRepN,Warunki.thisTrialN,Warunki.thisN,Warunki.thisIndex,Intro.started,Intro_resp.started,Intro_resp.keys,Intro_resp.rt,Kolorowanie1.started,starttt.started,starttt.keys,starttt.rt,koloruj.started,Instruction.started,key_resp.started,key_resp.keys,key_resp.rt,Wyjasnienie.started,text.started,odp_przyk.started,odp_przyk.keys,odp_przyk.corr,odp_przyk.rt,zapo.started,Zadanie.started,Odp.started,Odp.keys,Odp.corr,Odp.rt,zapo.stopped,thanks.started,KONIEC.started,KONIEC.keys,KONIEC.rt,participant,Wiek (w latach),Płeć (K/M),Entropia,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,47.35996242496190,49.33843608398460,space,20.856895052013000,,,,,,,,,,,,,,,,,,,,,,,,,,,6,20,M,N,2023-01-03_14h21.03.786,Flanker,2022.2.4,78.6843919323185,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,<<<<<,,0,0,0,0,0,0,0,0,,,,,,,,,70.30203982500830,71.21638667897790,space,44.34145808801990,115.59170075203300,415.5926395750140,417.5710216079610,space,50.082186070038000,467.67076982196900,476.6644101480490,476.6644101480490,left,0,0.6243203970370810,,,,,,,,,,,,6,20,M,N,2023-01-03_14h21.03.786,Flanker,2022.2.4,78.6843919323185,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,-->--,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,478.3045196610040,478.3045196610040,right,0,0.614809682010673,,,,,,,,,,,,6,20,M,N,2023-01-03_14h21.03.786,Flanker,2022.2.4,78.6843919323185,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,>><>>,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,479.95867543900400,479.95867543900400,left,0,0.8829673449508850,,,,,,,,,,,,6,20,M,N,2023-01-03_14h21.03.786,Flanker,2022.2.4,78.6843919323185,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,<<><<,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,481.85082612000400,481.85082612000400,right,0,0.6127108309883620,,,,,,,,,,,,6,20,M,N,2023-01-03_14h21.03.786,Flanker,2022.2.4,78.6843919323185,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,--<--,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,483.46943295700500,483.46943295700500,left,0,0.46497347007971300,,,,,,,,,,,,6,20,M,N,2023-01-03_14h21.03.786,Flanker,2022.2.4,78.6843919323185,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,>>>>>,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,484.94323288998600,484.94323288998600,right,0,0.3902819629292940,,,,,,,,,,,,6,20,M,N,2023-01-03_14h21.03.786,Flanker,2022.2.4,78.6843919323185,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,0,,,,,0,0,0,46,,,,,,,,,,,,,,,,,,,,486.34958415897600,494.3541889550400,494.3541889550400,left,0,0.3860408359905710,493.3567896949830,,,,,6,20,M,N,2023-01-03_14h21.03.786,Flanker,2022.2.4,78.6843919323185,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,0,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,495.77608394494700,495.77608394494700,left,0,0.41802022396586800,,,,,,6,20,M,N,2023-01-03_14h21.03.786,Flanker,2022.2.4,78.6843919323185,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,0,,,,,0,2,2,10,,,,,,,,,,,,,,,,,,,,,497.20375150698200,497.20375150698200,left,0,0.38542611594311900,,,,,,6,20,M,N,2023-01-03_14h21.03.786,Flanker,2022.2.4,78.6843919323185,
