kolorowanka,Example,Stimuli,proby.thisRepN,proby.thisTrialN,proby.thisN,proby.thisIndex,zapoznanie.thisRepN,zapoznanie.thisTrialN,zapoznanie.thisN,zapoznanie.thisIndex,Warunki.thisRepN,Warunki.thisTrialN,Warunki.thisN,Warunki.thisIndex,Intro.started,Intro_resp.started,Intro_resp.keys,Intro_resp.rt,Kolorowanie1.started,starttt.started,starttt.keys,starttt.rt,koloruj.started,Instruction.started,key_resp.started,key_resp.keys,key_resp.rt,Wyjasnienie.started,text.started,odp_przyk.started,odp_przyk.keys,odp_przyk.corr,odp_przyk.rt,zapo.started,Zadanie.started,Odp.started,Odp.keys,Odp.corr,Odp.rt,zapo.stopped,thanks.started,KONIEC.started,KONIEC.keys,KONIEC.rt,participant,Wiek (w latach),Płeć (K/M),Entropia,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,28.43496929097460,30.413271195953700,space,33.02154993696600,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,<<<<<,,0,0,0,0,0,0,0,0,,,,,,,,,63.50976007489950,64.44005221396220,space,22.388761495007200,86.87015911191700,386.8544078139820,388.85770911793200,space,45.465328990947500,434.3491767459780,443.34196023095900,443.34196023095900,left,0,1.157486431999130,,,,,,,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,>><>>,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,445.51539870293300,445.51539870293300,right,0,1.6859869239851800,,,,,,,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,--<--,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,,448.20438918389800,448.20438918389800,left,0,2.8679488780908300,,,,,,,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,>>>>>,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,452.08616404188800,452.08616404188800,right,0,1.9620967160444700,,,,,,,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,-->--,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,455.0632109110010,455.0632109110010,right,0,0.8029626960633320,,,,,,,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,<<><<,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,456.88085324899300,456.88085324899300,right,0,1.4085814540740100,,,,,,,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,0,,,,,0,0,0,46,,,,,,,,,,,,,,,,,,,,459.3037354419940,467.3034462739020,467.3034462739020,left,0,0.8698749030008910,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>>>>>,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,469.1800987710010,469.1800987710010,right,0,0.4521317130420360,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,0,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,,,470.6293651179880,470.6293651179880,left,0,0.43307770299725200,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>>>>>,0,0,0,0,,,,,0,3,3,9,,,,,,,,,,,,,,,,,,,,,472.07789058890200,472.07789058890200,right,0,0.38724787498358600,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,0,,,,,0,4,4,16,,,,,,,,,,,,,,,,,,,,,473.49779757799100,473.49779757799100,left,0,0.3833587649278340,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,0,,,,,0,5,5,36,,,,,,,,,,,,,,,,,,,,,474.88237259094600,474.88237259094600,left,0,0.8677767739864070,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>>>>> ,0,0,0,0,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,476.766413391917,476.766413391917,right,0,0.45985418604686900,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>>>>>,0,0,0,0,,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,478.23537255392900,478.23537255392900,right,0,0.5226965349866080,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,-->--,0,0,0,0,,,,,0,8,8,52,,,,,,,,,,,,,,,,,,,,,479.75803592498400,479.75803592498400,right,0,0.516889077029191,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,-->--,0,0,0,0,,,,,0,9,9,57,,,,,,,,,,,,,,,,,,,,,481.2762073689370,481.2762073689370,right,0,0.3937591330613940,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>>>>>,0,0,0,0,,,,,0,10,10,8,,,,,,,,,,,,,,,,,,,,,482.69437367795000,482.69437367795000,right,0,0.4225492209661750,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,0,,,,,0,11,11,34,,,,,,,,,,,,,,,,,,,,,484.1226555299950,484.1226555299950,left,0,0.6722488319501280,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,0,,,,,0,12,12,26,,,,,,,,,,,,,,,,,,,,,485.82474214292600,485.82474214292600,right,0,0.559098948026076,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,0,,,,,0,13,13,24,,,,,,,,,,,,,,,,,,,,,487.39733949198900,487.39733949198900,left,0,0.343558770022355,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,0,,,,,0,14,14,39,,,,,,,,,,,,,,,,,,,,,488.74752004095400,488.74752004095400,left,0,0.6954452890204270,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,0,,,,,0,15,15,28,,,,,,,,,,,,,,,,,,,,,490.45359931490400,490.45359931490400,right,0,0.5572026849258690,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną kolorwankę z mandalą. Naciśnij spację aby zacząć odmierzać czas,,-->--,0,0,0,0,,,,,0,16,16,55,,,,,,,,,,,,,,,,,,,,,492.0395613469880,492.0395613469880,right,0,0.458386113983579,,,,,,2,21,M,N,2023-01-03_12h06.37.672,Flanker,2022.2.4,None,
