kolorowanka,Example,Stimuli,proby.thisRepN,proby.thisTrialN,proby.thisN,proby.thisIndex,zapoznanie.thisRepN,zapoznanie.thisTrialN,zapoznanie.thisN,zapoznanie.thisIndex,Warunki.thisRepN,Warunki.thisTrialN,Warunki.thisN,Warunki.thisIndex,Intro.started,Intro_resp.started,Intro_resp.keys,Intro_resp.rt,Kolorowanie1.started,starttt.started,starttt.keys,starttt.rt,koloruj.started,Instruction.started,key_resp.started,key_resp.keys,key_resp.rt,Wyjasnienie.started,text.started,odp_przyk.started,odp_przyk.keys,odp_przyk.corr,odp_przyk.rt,zapo.started,Zadanie.started,Odp.started,Odp.keys,Odp.corr,Odp.rt,zapo.stopped,thanks.started,KONIEC.started,KONIEC.keys,KONIEC.rt,participant,Wiek (w latach),Płeć (K/M),Entropia,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,21.756707133026800,23.742359540076000,space,14.914895515074000,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20,M,N,2023-01-03_15h14.43.621,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,-->--,,0,0,0,1,0,0,0,5,,,,,,,,,38.70516143704300,39.66897143202370,space,7.513856190955270,47.21259908005600,347.2089609269750,349.19252197106800,space,17.930576774990200,367.15573532600000,376.15136277803700,376.15136277803700,right,0,1.1381004290888100,,,,,,,,,,,,9,20,M,N,2023-01-03_15h14.43.621,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,--<--,,0,0,0,1,0,1,1,4,,,,,,,,,,,,,,,,,,,378.3137561810440,378.3137561810440,left,0,0.7094712830148640,,,,,,,,,,,,9,20,M,N,2023-01-03_15h14.43.621,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,<<><<,,0,0,0,1,0,2,2,2,,,,,,,,,,,,,,,,,,,380.03019014105700,380.03019014105700,right,0,0.9218844249844550,,,,,,,,,,,,9,20,M,N,2023-01-03_15h14.43.621,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,>><>>,,0,0,0,1,0,3,3,3,,,,,,,,,,,,,,,,,,,381.9689252510430,381.9689252510430,left,0,1.2020148219307900,,,,,,,,,,,,9,20,M,N,2023-01-03_15h14.43.621,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,>>>>>,,0,0,0,1,0,4,4,1,,,,,,,,,,,,,,,,,,,384.18589512002700,384.18589512002700,right,0,0.5510018259519710,,,,,,,,,,,,9,20,M,N,2023-01-03_15h14.43.621,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,<<<<<,,0,0,0,1,0,5,5,0,,,,,,,,,,,,,,,,,,,385.75347615999600,385.75347615999600,left,0,0.3964208660181610,,,,,,,,,,,,9,20,M,N,2023-01-03_15h14.43.621,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,1,,,,,0,0,0,45,,,,,,,,,,,,,,,,,,,,387.1609226790020,395.1641082270070,395.1641082270070,left,0,0.5641018780879680,394.17014522396500,,,,,9,20,M,N,2023-01-03_15h14.43.621,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,1,,,,,0,1,1,35,,,,,,,,,,,,,,,,,,,,,396.76416534697600,396.76416534697600,left,0,0.8111145069124180,,,,,,9,20,M,N,2023-01-03_15h14.43.621,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,-->--,0,0,0,1,,,,,0,2,2,55,,,,,,,,,,,,,,,,,,,,,398.5882935980340,398.5882935980340,right,0,0.8829461690038440,,,,,,9,20,M,N,2023-01-03_15h14.43.621,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,>><>>,0,0,0,1,,,,,0,3,3,32,,,,,,,,,,,,,,,,,,,,,400.496506361058,400.496506361058,left,0,0.4767668070271610,,,,,,9,20,M,N,2023-01-03_15h14.43.621,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,--<--,0,0,0,1,,,,,0,4,4,44,,,,,,,,,,,,,,,,,,,,,401.976193316048,401.976193316048,left,0,0.40790078102145300,,,,,,9,20,M,N,2023-01-03_15h14.43.621,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<<<<,0,0,0,1,,,,,0,5,5,15,,,,,,,,,,,,,,,,,,,,,403.40319609304400,403.40319609304400,left,0,0.48194205900654200,,,,,,9,20,M,N,2023-01-03_15h14.43.621,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,1,,,,,0,6,6,22,,,,,,,,,,,,,,,,,,,,,404.9040047660240,404.9040047660240,right,0,0.5179562600096690,,,,,,9,20,M,N,2023-01-03_15h14.43.621,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,<<><<,0,0,0,1,,,,,0,7,7,25,,,,,,,,,,,,,,,,,,,,,406.4439212559960,406.4439212559960,right,0,0.5602153309155260,,,,,,9,20,M,N,2023-01-03_15h14.43.621,Flanker,2022.2.4,None,
Przez najbliższe 5 minut proszę kolorować otrzymaną pustą kartkę. Naciśnij spację aby zacząć odmierzać czas,,-->--,0,0,0,1,,,,,0,8,8,59,,,,,,,,,,,,,,,,,,,,,408.0209537210180,408.0209537210180,right,0,0.4398900920059530,,,,,,9,20,M,N,2023-01-03_15h14.43.621,Flanker,2022.2.4,None,
